年份,国内游客(百万人次),国内旅游总花费(亿元),国内旅游人均花费(元),国内居民因私出境人数(万人次),国际旅游外汇收入(亿美元),GDP(亿元),人均国内生产总值(元)
2019,6006,57250.9,944.7,16211,1312.54,990865.1,70892
2018,5539,51278.3,925.8,15501.69,1271.03,919281.1,66006
2017,5001,45660.7,913,13581.56,1234.17,832035.9,60014
2016,4435,39390,888.2,12850,1200,746395.1,54139
2015,3990,34195.1,857,12172,1136.5,688858.2,50237
2014,3611,30311.9,839.7,11002.91,1053.8,643563.1,47173
2013,3262,26276.1,805.5,9197.08,516.64,592963.2,43684
2012,2957,22706.2,767.9,7705.51,500.28,538580,39874
2011,2641,19305.4,731,6411.79,484.64,487940.2,36302
2010,2103,12579.8,598.2,5150.79,458.14,412119.3,30808
2009,1902,10183.7,535.4,4220.97,396.75,348517.7,26180
2008,1712,8749.3,511,4013.12,408.43,319244.6,24100
2007,1610,7770.6,482.6,3492.4,419.19,270092.3,20494
2006,1394,6229.7,446.9,2879.91,339.49,219438.5,16738
2005,1212,5285.9,436.1,2514,292.96,187318.9,14368
2004,1102,4710.7,427.5,2298,257.39,161840.2,12487
2003,870,3442.3,395.7,1481.09,174.06,137422,10666
2002,878,3878.4,441.8,1006.14,203.85,121717.4,9506
2001,784,3522.4,449.5,694.67,177.92,110863.1,8717
2000,744,3175.5,426.6,563.09,162.24,100280.1,7942
1999,719,2831.9,394,426.61,140.99,90564.4,7229
1998,694,2391.2,345,319.02,126.02,85195.5,6860
1997,644,2112.7,328.1,243.96,120.74,79715,6481
1996,639,1638.4,256.2,241.39,102,71813.6,5898
1995,629,1375.7,218.7,205.39,87.33,61339.9,5091
1994,524,1023.5,195.3,164.23,73.23,48637.5,4081
1993,,,,,46.83,35673.2,3027
1992,,,,,39.47,27194.5,2334
1991,,,,,28.45,22005.6,1912
1990,,,,,22.18,18872.9,1663
